"Education","Gross Household Income","Skill","Age","Marrital Status","Country","Gender","WeightedAIS","Vote"
"17-19","Level 2 20~39k","Level 2","AgeOver85","Single","England","Female",0.524659334382652,0
"16 or under","Level 1 0~19k","Level 6","Age66-85","Married","England","Male",0.465145373097747,0
"20 or above","Level 3 40~59k","Level 8","Age66-85","Married","England","Male",0.0475852002407976,0
"16 or under","Level 1 0~19k","Level 1","Age46-65","Married","Scotland","Male",-0.246022706253851,0
"16 or under","Level 1 0~19k","Level 6","Age36-45","Single","England","Female",-0.22017476618165,0
"17-19","Level 3 40~59k","Level 6","Age46-65","Married","England","Male",0,0
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Single","England","Male",0.950916525961498,1
"20 or above","Level 3 40~59k","Level 6","Age46-65","Married","England","Male",-0.181370731649695,1
"20 or above","Level 4 60~99k","Level 7","AgeOver85","Single","Scotland","Male",0,0
"20 or above","Level 3 40~59k","Level 5","AgeOver85","Single","Scotland","Male",-0.0954563056319206,0
"20 or above","Level 2 20~39k","Level 6","AgeOver85","Married","Scotland","Female",-0.156588929654451,0
"20 or above","Level 2 20~39k","Level 5","Age46-65","Married","England","Male",0.36163752508768,0
"20 or above","Level 4 60~99k","Level 6","Age46-65","Married","England","Male",0,1
"20 or above","Level 2 20~39k","Level 2","Age46-65","Married","England","Male",0.246815858377084,0
"16 or under","Level 3 40~59k","Level 4","Age46-65","Married","England","Male",0.816573144340383,1
"16 or under","Level 2 20~39k","Level 7","Age46-65","Married","England","Male",0.805327853410665,0
"17-19","Level 2 20~39k","Level 6","Age46-65","Married","England","Female",0.863559092525893,1
"16 or under","Level 2 20~39k","Level 6","Age66-85","Married","England","Male",0,0
"17-19","Level 1 0~19k","Level 5","Age46-65","Married","Wales","Female",0.257389773721253,0
"20 or above","Level 4 60~99k","Level 6","AgeOver85","Single","England","Female",0.605086125496391,1
"20 or above","Level 2 20~39k","Level 7","AgeOver85","Single","England","Male",-0.078641209737891,0
"16 or under","Level 1 0~19k","Level 4","Age66-85","Married","England","Male",1.03583919337743,1
"17-19","Level 1 0~19k","Level 3","Age46-65","Single","England","Male",0.433371237505663,0
"20 or above","Level 3 40~59k","Level 6","Age46-65","Married","England","Female",-0.858754131691945,0
"20 or above","Level 3 40~59k","Level 7","Age19-35","Single","England","Male",-0.720349812764994,0
"17-19","Level 2 20~39k","Level 6","Age46-65","Married","England","Male",0.460556513240425,1
"20 or above","Level 3 40~59k","Level 3","Age46-65","Married","England","Male",-0.163336604433397,0
"20 or above","Level 3 40~59k","Level 6","Age46-65","Single","Scotland","Male",-0.116455573260426,0
"20 or above","Level 1 0~19k","Level 6","Age46-65","Single","Wales","Female",0.0477558818579289,1
"17-19","Level 3 40~59k","Level 6","Age66-85","Single","Scotland","Female",0.248290739947465,1
"17-19","Level 2 20~39k","Level 4","Age66-85","Married","England","Male",-0.0892015958341153,1
"17-19","Level 2 20~39k","Level 6","Age66-85","Married","England","Female",-0.507676630801725,0
"20 or above","Level 3 40~59k","Level 6","Age36-45","Single","England","Female",-0.158782700720939,0
"16 or under","Level 1 0~19k","Level 4","Age46-65","Married","England","Male",0.6635724,1
"17-19","Level 2 20~39k","Level 5","Age46-65","Single","England","Male",1.12730404808835,1
"17-19","Level 2 20~39k","Level 4","Age36-45","Married","England","Male",-1.13971838282421,0
"16 or under","Level 1 0~19k","Level 6","Age66-85","Married","England","Male",0.59048011838704,1
"17-19","Level 1 0~19k","Level 2","Age66-85","Married","England","Male",0,1
"16 or under","Level 1 0~19k","Level 3","Age46-65","Single","Scotland","Female",0.282969631660366,1
"20 or above","Level 1 0~19k","Level 6","Age66-85","Single","Wales","Female",0.198260703954274,1
"20 or above","Level 2 20~39k","Level 6","Age46-65","Single","England","Female",0.147451515645602,1
"16 or under","Level 1 0~19k","Level 3","Age66-85","Single","England","Female",0,1
"16 or under","Level 3 40~59k","Level 8","Age66-85","Married","England","Male",0.481779922902161,1
"16 or under","Level 1 0~19k","Level 1","Age36-45","Married","Scotland","Female",-0.0834447014747882,0
"20 or above","Level 3 40~59k","Level 6","Age46-65","Married","England","Female",-0.645044883767453,0
"16 or under","Level 2 20~39k","Level 5","Age46-65","Single","Scotland","Female",0.0599808186897245,0
"16 or under","Level 1 0~19k","Level 6","Age66-85","Married","England","Female",0.233339473926768,1
"17-19","Level 1 0~19k","Level 6","Age66-85","Married","England","Female",1.37763491621157,1
"20 or above","Level 2 20~39k","Level 3","Age46-65","Married","England","Female",2.51109069311148,1
"16 or under","Level 1 0~19k","Level 4","Age46-65","Single","England","Male",0.723027712041656,1
"20 or above","Level 3 40~59k","Level 7","Age36-45","Single","England","Female",-0.30221958838482,1
"17-19","Level 1 0~19k","Level 2","AgeOver85","Single","England","Female",1.57324203684427,0
"17-19","Level 1 0~19k","Level 4","Age46-65","Married","England","Male",0,1
"17-19","Level 4 60~99k","Level 6","Age46-65","Married","England","Male",-0.191361321275087,0
"16 or under","Level 2 20~39k","Level 4","Age66-85","Married","England","Male",0.91528096214374,1
"16 or under","Level 2 20~39k","Level 5","Age46-65","Married","England","Female",0.624116541083787,1
"16 or under","Level 3 40~59k","Level 7","Age46-65","Married","England","Male",1.27467397590033,1
"16 or under","Level 2 20~39k","Level 5","Age66-85","Married","England","Male",0.150013120721195,0
"20 or above","Level 4 60~99k","Level 1","Age46-65","Married","England","Female",0.589019717782066,0
"20 or above","Level 1 0~19k","Level 4","Age66-85","Married","England","Male",1.92237456878607,1
"20 or above","Level 1 0~19k","Level 3","Age46-65","Married","England","Male",0.241735960630355,0
"17-19","Level 2 20~39k","Level 8","Age46-65","Married","England","Female",-0.0613911443830533,1
"17-19","Level 1 0~19k","Level 5","AgeOver85","Single","England","Female",1.52946031632767,0
"17-19","Level 3 40~59k","Level 5","Age36-45","Married","Wales","Male",0.0698171495561595,1
"16 or under","Level 1 0~19k","Level 1","Age46-65","Married","England","Male",0.581951142322865,1
"20 or above","Level 4 60~99k","Level 6","Age46-65","Married","Scotland","Male",-0.113363983312722,0
"17-19","Level 2 20~39k","Level 2","AgeOver85","Married","England","Male",1.44983247096756,0
"16 or under","Level 2 20~39k","Level 3","Age46-65","Married","Scotland","Male",-0.0967904483509455,0
"16 or under","Level 1 0~19k","Level 5","Age46-65","Married","England","Female",0.441287482017921,1
"20 or above","Level 3 40~59k","Level 6","AgeOver85","Married","England","Female",0.458056741632387,0
"20 or above","Level 4 60~99k","Level 5","Age46-65","Single","England","Male",-0.236115433060224,1
"20 or above","Level 1 0~19k","Level 5","Age66-85","Single","Scotland","Male",0.166003446065389,1
"16 or under","Level 2 20~39k","Level 5","Age46-65","Married","England","Female",0.601504497583759,1
"17-19","Level 2 20~39k","Level 7","Age46-65","Married","England","Male",0.20090973632055,0
"17-19","Level 2 20~39k","Level 6","Age46-65","Married","England","Female",0.172132347629884,1
"17-19","Level 4 60~99k","Level 6","Age36-45","Married","Wales","Female",-0.0125931595615625,0
"20 or above","Level 4 60~99k","Level 7","AgeOver85","Married","England","Female",-0.310264347032602,0
"20 or above","Level 5 100k or above","Level 7","Age46-65","Married","Scotland","Male",-0.103146594297387,0
"16 or under","Level 2 20~39k","Level 5","Age66-85","Married","England","Male",0.248770666417896,0
"16 or under","Level 1 0~19k","Level 4","Age46-65","Married","England","Male",0.186852612377469,1
"16 or under","Level 1 0~19k","Level 4","Age46-65","Married","England","Male",0.145181158255424,1
"20 or above","Level 2 20~39k","Level 6","Age66-85","Married","England","Female",0.377070000675921,0
"16 or under","Level 2 20~39k","Level 6","Age66-85","Married","England","Female",0.221681034063973,1
"16 or under","Level 1 0~19k","Level 1","Age66-85","Married","England","Female",2.23878508186738,1
"17-19","Level 1 0~19k","Level 6","Age36-45","Married","England","Male",-0.453520762453246,1
"17-19","Level 3 40~59k","Level 6","Age46-65","Married","Scotland","Male",0.185217879434596,0
"20 or above","Level 3 40~59k","Level 6","AgeOver85","Married","England","Female",1.75986246522033,1
"16 or under","Level 1 0~19k","Level 3","Age66-85","Married","England","Male",0.211191833502287,1
"20 or above","Level 2 20~39k","Level 8","Age66-85","Married","England","Male",-0.12399610832287,0
"17-19","Level 3 40~59k","Level 5","Age36-45","Married","Wales","Female",-0.0408306169157297,0
"20 or above","Level 2 20~39k","Level 6","Age46-65","Married","England","Female",-0.615600829749379,0
"17-19","Level 3 40~59k","Level 7","AgeOver85","Single","England","Female",3.5320531041189,0
"16 or under","Level 2 20~39k","Level 5","Age46-65","Married","England","Female",0.0931255027620296,0
"17-19","Level 1 0~19k","Level 5","AgeOver85","Single","England","Female",2.44501425,1
"20 or above","Level 4 60~99k","Level 6","Age19-35","Married","England","Male",-0.889015522663655,0
"20 or above","Level 3 40~59k","Level 5","Age36-45","Single","England","Female",0.0366442906410185,0
"17-19","Level 1 0~19k","Level 5","Age46-65","Single","England","Female",-0.268699289776031,0
"17-19","Level 4 60~99k","Level 5","AgeOver85","Single","Scotland","Female",0.0589382365486178,1
"20 or above","Level 4 60~99k","Level 2","AgeOver85","Single","England","Female",-0.223673616974391,0
"16 or under","Level 1 0~19k","Level 6","Age46-65","Married","Scotland","Male",0.599741752150208,1
"20 or above","Level 2 20~39k","Level 6","Age46-65","Married","Scotland","Male",-0.0986042404842817,0
"20 or above","Level 4 60~99k","Level 5","AgeOver85","Married","England","Female",0,1
"20 or above","Level 4 60~99k","Level 4","Age46-65","Married","England","Male",-0.938839018875066,0
"16 or under","Level 1 0~19k","Level 6","Age66-85","Married","England","Male",1.15812598519157,1
"16 or under","Level 3 40~59k","Level 2","Age46-65","Married","England","Female",0.952300027109487,1
"20 or above","Level 3 40~59k","Level 6","Age66-85","Married","Wales","Female",0.0386851019465205,1
"17-19","Level 3 40~59k","Level 4","Age46-65","Married","England","Male",1.44720208903806,1
"17-19","Level 2 20~39k","Level 2","Age46-65","Married","Scotland","Female",0.185323475248657,1
"20 or above","Level 5 100k or above","Level 6","Age46-65","Married","England","Male",-0.34710031032511,0
"17-19","Level 2 20~39k","Level 6","AgeOver85","Single","Scotland","Female",-0.08078104726698,0
"16 or under","Level 1 0~19k","Level 2","Age46-65","Married","England","Male",0.77059640948236,1
"20 or above","Level 2 20~39k","Level 6","Age46-65","Single","England","Female",-0.367739568458589,0
"16 or under","Level 2 20~39k","Level 5","Age46-65","Single","England","Female",2.22747200027843,1
"16 or under","Level 1 0~19k","Level 8","Age46-65","Married","Scotland","Male",-0.499132224111137,0
"17-19","Level 1 0~19k","Level 3","Age46-65","Single","England","Male",0.591007877123736,1
"16 or under","Level 2 20~39k","Level 6","Age19-35","Single","England","Male",2.20653055462652,0
"16 or under","Level 2 20~39k","Level 4","Age66-85","Married","England","Female",0.758398183011808,1
"16 or under","Level 2 20~39k","Level 4","Age46-65","Married","England","Male",0.69819333102086,1
"16 or under","Level 1 0~19k","Level 4","AgeOver85","Married","Scotland","Female",0.43302949850778,1
"20 or above","Level 3 40~59k","Level 8","Age46-65","Married","England","Female",-0.30221958838482,0
"17-19","Level 2 20~39k","Level 7","Age46-65","Married","England","Female",0.871659903450013,1
"17-19","Level 1 0~19k","Level 5","Age46-65","Married","Scotland","Female",0.552166125508906,1
"20 or above","Level 5 100k or above","Level 7","Age36-45","Married","England","Male",-1.08657452750246,0
"17-19","Level 4 60~99k","Level 7","AgeOver85","Single","England","Male",0.537521560252302,1
"20 or above","Level 1 0~19k","Level 3","Age46-65","Single","Scotland","Female",-0.42249993305636,1
